plz,ort,grundversorger,gv_tarif_stichtag_alt,gv_ap_stichtag_alt,gv_gp_stichtag_alt,gv_gesamtpreis_stichtag_alt,gv_tarif_stichtag_neu,gv_ap_stichtag_neu,gv_gp_stichtag_neu,gv_gesamtpreis_stichtag_neu,differenz_gv_gesamtpreis,sondertarif_stichtag_alt,sondertarif_stichtag_alt_ap,sondertarif_stichtag_alt_gp,sondertarif_stichtag_alt_gesamtpreis,sondertarif_stichtag_neu,sondertarif_stichtag_neu_ap,sondertarif_neu_gp,sondertarif_stichtag_neu_gesamtpreis,differenz_sondertarif_stichtag_alt_stichtag_neu,PLZ_FirstDigit
06347,Gerbstedt,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
09661,Rossau,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
06268,Grockstädt,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
06648,Eckartsberga,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
09116,Chemnitz,eins energie in sachsen GmbH & Co. KG,einsstrom Basis,36.18,120.93,1387.23,einsstrom Basis,36.18,120.93,1387.23,0.0,NEWfair Strom 3 ,19.1,128.91,797.41,SimplyFair Tarif,18.56639,149.4118,799.23545,1.82545,0
04316,Leipzig,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,20.01,121.21,821.56,SimplyFair Tarif,19.47639,141.7059,823.37955,1.81955,0
07646,Schöngleina,TEAG Thüringer Energie AG,Grundversorgung,41.93,145.72,1613.27,Grundversorgung,41.93,145.72,1613.27,0.0,NEWfair Strom 3 ,20.6,108.66,829.66,SimplyFair Tarif,20.06639,129.1597,831.48335,1.82335,0
06647,Finneland,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
07589,Münchenbernsdorf,TEAG Thüringer Energie AG,Grundversorgung,41.93,145.72,1613.27,Grundversorgung,41.93,145.72,1613.27,0.0,NEWfair Strom 3 ,21.66,149.55,907.65,NEWfair Strom 3 ,21.385,137.33,885.805,-21.845,0
06268,Vitzenburg,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
09243,Niederfrohna,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
07819,Schmieritz,TEAG Thüringer Energie AG,Grundversorgung,41.93,145.72,1613.27,Grundversorgung,41.93,145.72,1613.27,0.0,NEWfair Strom 3 ,21.66,149.55,907.65,NEWfair Strom 3 ,21.385,137.33,885.805,-21.845,0
09131,Chemnitz,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,SimplyFair Tarif,18.56639,149.4118,799.23545,SimplyFair Tarif,18.56639,149.4118,799.23545,0.0,0
06313,Hergisdorf,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
02943,Boxberg,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,SimplyFair Tarif,20.59639,141.5378,862.41145,SimplyFair Tarif,20.59639,141.5378,862.41145,0.0,0
07552,Gera,Energieversorgung Gera GmbH,Grundversorgung,40.5,169.8,1587.3,Grundversorgung,33.5,169.8,1342.3,-245.0,NEWfair Strom 3 ,19.2,135.78,807.78,SimplyFair Tarif,18.66639,156.2773,809.60095,1.82095,0
04668,Grimma,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.4,121.04,870.04,SimplyFair Tarif,20.86639,141.5378,871.86145,1.82145,0
06388,Wieskau,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
04683,Naunhof,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
04758,Liebschützberg,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,SimplyFair Tarif,20.59639,141.5378,862.41145,SimplyFair Tarif,20.59639,141.5378,862.41145,0.0,0
08527,Straßberg,Stadtwerke - Strom Plauen GmbH & Co. KG,Plauen regio,35.25,74.65,1308.4,Plauen regio,29.17,96.84,1117.79,-190.61,NEWfair Strom 3 ,21.28,106.4,851.2,NEWfair Strom 3 ,21.025,109.89,845.765,-5.435,0
08209,Auerbach,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
07907,Plothen,TEAG Thüringer Energie AG,Grundversorgung,41.93,145.72,1613.27,Grundversorgung,41.93,145.72,1613.27,0.0,NEWfair Strom 3 ,21.66,149.55,907.65,NEWfair Strom 3 ,21.385,137.33,885.805,-21.845,0
04886,Arzberg,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
04509,Krostitz,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
09119,Chemnitz,eins energie in sachsen GmbH & Co. KG,einsstrom Basis,36.18,120.93,1387.23,einsstrom Basis,36.18,120.93,1387.23,0.0,NEWfair Strom 3 ,19.1,128.91,797.41,SimplyFair Tarif,18.56639,149.4118,799.23545,1.82545,0
01833,Stolpen,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
02906,Kreba-Neudorf,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
04539,Groitzsch,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
07950,Zeulenroda-Triebes,Energiewerke Zeulenroda GmbH,Grund- und Ersatzversorgung,45.15,132.0,1712.25,Grund- und Ersatzversorgung,45.15,132.0,1712.25,0.0,MAX Basic Strom 12,21.634,106.75,863.94,KlickStrom24 plus,22.07,104.81,877.26,13.32,0
04932,Hirschfeld,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
01217,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,32.56,92.92,1232.52,Grundversorgung Haushalt,32.56,92.92,1232.52,0.0,NEWfair Strom 3 ,23.4,82.73,901.73,SimplyFair Tarif,22.86639,103.2269,903.55055,1.82055,0
04895,Saxdorf,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
04617,Monstab,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
03052,Cottbus,Stadtwerke Cottbus GmbH,Grundversorgung,38.059,100.8,1432.865,Grundversorgung,38.059,100.8,1432.865,0.0,SimplyFair Tarif,20.86639,141.5378,871.86145,SimplyFair Tarif,20.86639,141.5378,871.86145,0.0,0
04808,Thallwitz,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
09128,Chemnitz,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.8,121.04,884.04,SimplyFair Tarif,21.26639,141.5378,885.86145,1.82145,0
02747,Großhennersdorf,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
03052,Cottbus,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,SimplyFair Tarif,20.86639,141.5378,871.86145,SimplyFair Tarif,20.86639,141.5378,871.86145,0.0,0
04936,Malitschkendorf,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
02763,Zittau,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,21.93,123.99,891.54,SimplyFair Tarif,21.39639,144.4874,893.36105,1.82105,0
